Carimbo de data/hora,"Sabendo dessas informações, você consente que usemos seus dados aqui para uso exclusivo da nossa pesquisa acadêmica?",Marque a sua faixa etária:,Qual é o Campus do seu Curso?,Qual seu Curso de Graduação?,Qual período você esta cursando atualmente?,Você trabalha ou estagia?,"Se você trabalha ou estagia, qual a sua modalidade de trabalho?",Você participa de algum projeto de extensão?,"Caso não participe, aponte até 2 principais motivos",Selecione até 3 tipos de projetos ou atividades extracurriculares você mais se interessa,Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Sites da Proex],"Caso use outro meio, escreva-o abaixo",Você sente facilidade em se comunicar com professores e alunos de cursos de áreas diferentes?,"Se existisse uma plataforma que divulgasse somente os projetos de extensão dentre diferentes cursos, você acredita que aumentaria a visibilidade dos projetos?",Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 2],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Contato diretamente com professor],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [E-mails da coordenação],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Mural no prédio da faculdade],Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 5]
30/09/2023 15:27:02,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,9º período,"Sim, aproximadamente 40h semanais.",Remoto.,Não participo e não tenho interesse no momento.,"Falta de tempo, Não consigo achar nenhum projeto",Projetos de pesquisa,Indiferente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Muito eficiente,Muito eficiente,Indiferente,
30/09/2023 15:29:48,Sim.,18 - 24 anos,Campus Niterói,Geografia - Bacharelado - Presencial,5º período,"Sim, aproximadamente 30h semanais.",Remoto.,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de pesquisa, Projetos de empreendedorismo",Indiferente,Contato com colegas que já participam de algo.,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Não se aplica,Eficiente,Muito eficiente,
30/09/2023 15:34:31,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,6º período,"Sim, aproximadamente 30h semanais.",Híbrido.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Falta de tempo, Não consigo achar nenhum projeto","Projetos de serviço comunitário, Projetos de empreendedorismo",Nada eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Eficiente,Pouco eficiente,
30/09/2023 15:34:58,Sim.,18 - 24 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,5º período,"Sim, aproximadamente 40h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento",Não me interesso,Indiferente,,"Não, sinto dificuldade de me comunicar com ambos",Indiferente,,Muito eficiente,Indiferente,Indiferente,
30/09/2023 15:35:11,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,5º período,Não.,,Não participo e não tenho interesse no momento.,Apenas não quero,Não me interesso,Nada eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Nada eficiente,Pouco eficiente,Pouco eficiente,
30/09/2023 15:35:50,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,2º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não tem projetos de meu interesse, Não consigo achar nenhum projeto","Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Nada eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, um pouco",,Pouco eficiente,Eficiente,Indiferente,
30/09/2023 15:41:57,Sim.,25 - 34 anos,Campus Niterói,Ciência da Computação - Bacharelado - Presencial,2º período,"Sim, aproximadamente 40h semanais.",Remoto.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não consigo achar nenhum projeto,"Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Pouco eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Eficiente,Eficiente,Indiferente,
30/09/2023 15:48:38,Sim.,25 - 34 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,6º período,"Sim, aproximadamente 30h semanais.",Híbrido.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Falta de tempo, Piorizo outras atividades no momento","Projetos de pesquisa, Atividades culturais",Indiferente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Nada eficiente,Pouco eficiente,Pouco eficiente,
30/09/2023 15:57:23,Sim.,18 - 24 anos,Campus Niterói,Enfermagem - Bacharelado - Presencial,6º período,Não.,,"Sim, participo de um projeto de extensão com bolsa.",,"Projetos de serviço comunitário, Projetos de pesquisa",Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Pouco eficiente,Indiferente,
30/09/2023 16:04:40,Sim.,18 - 24 anos,Campus Niterói,Geografia - Bacharelado - Presencial,Mais de 10 períodos,"Sim, aproximadamente 40h semanais.",Híbrido.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não tem projetos de meu interesse, Não consigo achar nenhum projeto",Projetos de pesquisa,Nada eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Eficiente,Não se aplica,Nada eficiente,
30/09/2023 16:28:30,Sim.,18 - 24 anos,Campus Niterói,Ciência da Computação - Bacharelado - Presencial,10º período,"Sim, aproximadamente 40h semanais.",Remoto.,Não participo e não tenho interesse no momento.,"Não tem projetos de meu interesse, Já participei anteriormente","Projetos de pesquisa, Projetos de empreendedorismo, Times de competição",Nada eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Muito eficiente,Eficiente,Nada eficiente,
30/09/2023 16:43:43,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,5º período,Não.,,Não participo e não tenho interesse no momento.,"Piorizo outras atividades no momento, Apenas não quero",Não me interesso,Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Muito eficiente,Indiferente,
30/09/2023 17:23:16,Sim.,18 - 24 anos,Campus Niterói,Tecnologia em Sistemas de Computação - Tecnológico - EAD (Educação a Distância),1º período,"Sim, aproximadamente 30h semanais.",Híbrido.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não tem projetos de meu interesse, Piorizo outras atividades no momento","Atividades culturais, Projetos de empreendedorismo",Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Indiferente,Pouco eficiente,Pouco eficiente,
30/09/2023 17:28:54,Sim.,18 - 24 anos,Campus Niterói,Medicina - Bacharelado - Presencial,1º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Falta de tempo, Piorizo outras atividades no momento","Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Indiferente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Eficiente,Eficiente,Pouco eficiente,
30/09/2023 17:38:37,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,1º período,Não.,,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento",Projetos de pesquisa,Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Eficiente,Eficiente,
30/09/2023 18:02:20,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,6º período,"Sim, aproximadamente 20h semanais.",Presencial.,"Não participo, mas tenho interesse somente em projetos com bolsa.","Falta de tempo, Não consigo achar nenhum projeto",Projetos de pesquisa,Pouco eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Pouco eficiente,Pouco eficiente,
